prefix,year,season,label,folder,date,drone_serial,camera_serial,frames,photos,start_utc,edge_px,fine_detail,wide_share,fnumber,focus_mm,focus_finite_share,focus_values,drone,soft
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221045_002_19/,2026,summer,M3M-blue,DJI_202606221045_002_19,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,676,2026-06-22 16:48:54.613458+00:00,3.9075361535023827,0.46855033934116364,0.75,3.5,5132.0,1.0,1,blue,True
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221121_004_19/,2026,summer,M3M-blue,DJI_202606221121_004_19,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,473,2026-06-22 17:25:57.291740+00:00,2.95459137914745,0.9858598411083223,0.0,3.75,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221148_006_19/,2026,summer,M3M-blue,DJI_202606221148_006_19,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,175,2026-06-22 17:51:59.060958+00:00,3.146277282668995,0.5858029723167419,0.1,3.2,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221202_007_20/,2026,summer,M3M-blue,DJI_202606221202_007_20,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,539,2026-06-22 18:07:59.438001+00:00,2.882159654377305,1.1525872945785522,0.0,2.8,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221228_008_20/,2026,summer,M3M-blue,DJI_202606221228_008_20,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,617,2026-06-22 18:33:22.163036+00:00,2.978041666714671,0.9703333973884583,0.0,4.0,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221255_009_20/,2026,summer,M3M-blue,DJI_202606221255_009_20,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,538,2026-06-22 19:01:07.703163+00:00,3.304889614604532,0.7959865033626556,0.0,3.75,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221320_010_20/,2026,summer,M3M-blue,DJI_202606221320_010_20,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,621,2026-06-22 19:25:35.630783+00:00,2.882671285921139,0.9284029901027679,0.0,3.5,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221507_011_20/,2026,summer,M3M-blue,DJI_202606221507_011_20,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,302,2026-06-22 21:11:01.145951+00:00,3.0007392396497976,0.9177063703536987,0.0,2.8,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231033_001_5/,2026,summer,M3M-blue,DJI_202606231033_001_5,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,567,2026-06-23 16:39:58.165911+00:00,2.8104035388868587,1.2416473627090454,0.0,3.5,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231101_003_5/,2026,summer,M3M-blue,DJI_202606231101_003_5,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,548,2026-06-23 17:08:17.366298+00:00,2.9813410216204668,1.2465614676475525,0.0,3.5,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231130_004_5/,2026,summer,M3M-blue,DJI_202606231130_004_5,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,563,2026-06-23 17:35:29.586154+00:00,2.9685276032385595,1.0239752531051636,0.0,4.0,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,2026,summer,M3M-blue,DJI_202606231200_006_5,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,503,2026-06-23 18:04:41.486813+00:00,4.008112188140529,0.24159651994705195,0.85,3.5,5132.0,1.0,1,blue,True
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231301_009_1/,2026,summer,M3M-blue,DJI_202606231301_009_1,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,658,2026-06-23 19:06:27.950442+00:00,2.836580932486086,1.3092407584190369,0.0,3.5,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231334_011_1/,2026,summer,M3M-blue,DJI_202606231334_011_1,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,558,2026-06-23 19:37:12.550386+00:00,2.9156019452171784,1.0485015511512756,0.0,3.5,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231401_013_1/,2026,summer,M3M-blue,DJI_202606231401_013_1,20260623,1581F5FK324BE00CS1SX,493OL944AB0594,20,163,2026-06-23 20:03:41.142394+00:00,3.688667606713892,0.32516893744468683,0.15,3.35,7691.0,1.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,2026,summer,M3M-blue,DJI_202606241101_014_7,20260624,1581F5FK324BE00CS1SX,493OL944AB0594,20,593,2026-06-24 17:06:09.217638+00:00,4.214396182116868,0.12202099338173865,0.85,3.0,7691.0,1.0,1,blue,True
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241127_015_7/,2026,summer,M3M-blue,DJI_202606241127_015_7,20260624,1581F5FK324BE00CS1SX,493OL944AB0594,20,473,2026-06-24 17:30:26.685758+00:00,2.9546164411051823,0.5267099738121033,0.0,3.2,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606251021_017_15/,2026,summer,M3M-blue,DJI_202606251021_017_15,20260625,1581F5FK324BE00CS1SX,493OL944AB0594,20,550,2026-06-25 16:26:57.075284+00:00,3.3497715254142717,0.7620732486248016,0.0,3.2,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606251047_018_15/,2026,summer,M3M-blue,DJI_202606251047_018_15,20260625,1581F5FK324BE00CS1SX,493OL944AB0594,20,676,2026-06-25 16:51:01.076049+00:00,3.3682449093197135,0.7181462347507477,0.0,3.2,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606251114_019_15/,2026,summer,M3M-blue,DJI_202606251114_019_15,20260625,1581F5FK324BE00CS1SX,493OL944AB0594,20,661,2026-06-25 17:17:36.765950+00:00,2.999598455114076,1.0997359156608582,0.0,4.0,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606251141_021_15/,2026,summer,M3M-blue,DJI_202606251141_021_15,20260625,1581F5FK324BE00CS1SX,493OL944AB0594,20,530,2026-06-25 17:45:57.127457+00:00,2.872055910861632,1.172769010066986,0.0,2.8,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606261052_001_9/,2026,summer,M3M-blue,DJI_202606261052_001_9,20260626,1581F5FK324BE00CS1SX,493OL944AB0594,20,350,2026-06-26 16:57:26.417023+00:00,2.6075810579547634,1.0227933526039124,0.0,2.8,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606300845_002_9/,2026,summer,M3M-blue,DJI_202606300845_002_9,20260630,1581F5FK324BE00CS1SX,493OL944AB0594,20,654,2026-06-30 14:50:35.257125+00:00,2.4490716536288826,1.6926658749580383,0.0,2.8,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606300913_003_9/,2026,summer,M3M-blue,DJI_202606300913_003_9,20260630,1581F5FK324BE00CS1SX,493OL944AB0594,20,559,2026-06-30 15:19:13.945580+00:00,2.562457769374036,1.8347006440162659,0.0,2.8,,0.0,1,blue,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606300940_005_9/,2026,summer,M3M-blue,DJI_202606300940_005_9,20260630,1581F5FK324BE00CS1SX,493OL944AB0594,20,551,2026-06-30 15:44:16.240950+00:00,2.7980963949775086,1.4000176787376404,0.0,2.8,,0.0,1,blue,False
