kind,prefix,photo,partner_prefix,partner_photo,dist_m,ok,scale,inliers,fine_detail_ratio,edge_px,partner_edge_px,dark_floor,partner_dark_floor,contrast_span_ratio,contrast_cv_ratio,why
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,297,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606261057_001_4/,62,7.9425924708658995,True,1.0720117680622834,53.0,0.2692285596468924,3.945333414456072,2.7038897850173202,0.3185840707964602,0.4330708661417323,1.2109049386240365,1.2290178991078273,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,324,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606301025_010_10/,255,17.355038517132574,True,1.0009259916422877,149.0,0.3170125002404828,3.69814200398142,2.630591950361486,0.5737704918032787,0.42063492063492064,0.7821841851494697,0.7602979562758373,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,380,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606301025_010_10/,198,12.958457348197362,True,0.9938665218840782,244.0,0.37848650023501706,3.886381752406647,2.94001053419455,0.3944954128440367,0.32710280373831774,0.9038375475497874,0.8868448918915955,
soft,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606251239_016_14/,50,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606300940_005_9/,256,13.755046622151617,True,1.0055983127524113,54.0,0.09820369419209529,4.421701363614305,2.5236116954143877,0.78125,0.4921875,0.4496124031007752,0.43645233081906976,
soft,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606251239_016_14/,126,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251026_013_18/,178,15.431753389841866,True,1.0166731494384618,228.0,0.09425021079618888,5.775710357470211,2.958058995852307,0.728,0.48,0.5793103448275863,0.6214080992611022,
soft,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606251239_016_14/,203,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606300940_005_9/,267,13.379564751942384,True,1.0366702908203593,77.0,0.11697878623673762,4.4911427145708585,2.625339664589795,0.7769784172661871,0.4830508474576271,0.4244604316546763,0.38923744659253046,
soft,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606251239_016_14/,279,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251026_013_18/,126,15.967923923595917,True,1.0711125691623873,178.0,0.07539860673247765,5.877551020408164,2.9688028949979572,0.6785714285714286,0.448,0.6527093596059114,0.6088442160266031,
soft,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251056_014_18/,54,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606251122_013_14/,83,16.063026892810903,True,1.001644854605189,263.0,0.24950865609454995,4.358710237587813,3.2912064016700007,0.2890625,0.1732283464566929,0.8660133670520231,0.8169584475848977,
soft,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251056_014_18/,60,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251241_015_13/,3,12.186507244608809,True,1.0944909049168206,248.0,0.25420742658118134,5.161057220280407,3.2333815271846946,0.46923076923076923,0.4881889763779528,1.0315336837075968,0.9989801609966801,
control,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606261057_001_4/,21,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231033_001_5/,259,2.5331046963123325,True,0.9994439068012817,180.0,0.8827245919639268,2.6852353884273428,2.900363777734581,0.7132352941176471,0.4112903225806452,0.48673153471915087,0.46105327080427555,
control,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606261057_001_4/,33,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300849_002_4/,33,6.309550099474571,True,1.0046542739268214,190.0,0.5916117058254088,2.8536021150033046,2.7008366432857263,0.472,0.4365079365079365,0.818086956521739,0.7902056938623376,
control,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606261057_001_4/,46,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300849_002_4/,46,10.196420629930346,True,0.9905635826926273,59.0,0.5981351046471985,2.8623243933588762,2.6540982186678983,0.4573643410852713,0.49572649572649574,0.8027969830295413,0.7507543670569287,
control,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606261057_001_4/,58,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606301025_010_10/,313,4.395827428476659,True,1.004680747725302,152.0,1.2232843132452782,2.6725839855832594,2.840661235969963,0.4274193548387097,0.24761904761904763,0.7216825513196481,0.6864227947465263,
control,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606261057_001_4/,70,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300849_002_4/,71,4.7123232311816565,True,0.9884230819929946,165.0,0.5770282344464797,2.585290902106787,2.417081588774471,0.4251968503937008,0.4583333333333333,0.9005905511811023,0.8843151097634655,
